station_title_original,station_title_short
Бурштинська ТЕС,Бурштинська ТЕС
Вуглегірська ТЕС,Вуглегірська ТЕС
Добротвірська ТЕС,Добротвірська ТЕС
ДПЗД «Укрінтеренерго» ВФ «Калуська ТЕЦ»,Калуська ТЕЦ
Запорізька ТЕС,Запорізька ТЕС
Зміївська ТЕС,Зміївська ТЕС
КЕП «Чернігівська ТЕЦ» ТОВ ФІРМА «ТЕХНОВА»,Чернігівська ТЕЦ
Криворізька ТЕС,Криворізька ТЕС
Курахівська ТЕС,Курахівська ТЕС
Ладижинська ТЕС,Ладижинська ТЕС
Луганська ТЕС,Луганська ТЕС
Придніпровська ТЕС,Придніпровська ТЕС
"Слов""янська ТЕС",Слов’янська ТЕС
"ТОВ ""ЄВРО-РЕКОНСТРУКЦІЯ"" (Дарницька ТЕЦ)",Дарницька ТЕЦ
"ТОВ ""Краматорськтеплоенерго""",Краматорська ТЕЦ
ТОВ «ДВ «Нафтогазовидобувна компанія» (ЄСХАР),ТЕЦ-2 (Есхар)
Трипільська ТЕС,Трипільська ТЕС
"ВП Миронівська ТЕС 
ПАТ ""ДТЕК Донецькобленерго"", у т.ч.:",Миронівська ТЕС
"ПАТ ""Черкаське хімволокно"" ВП ""Черкаська ТЕЦ""",Черкаська ТЕЦ
Енергія Новий Розділ,Новороздільська ТЕЦ
Енергія Новояворів.,Новояворівська ТЕЦ
